panel,l,pol,type,q_e,eps_ratio
TM1,1,TM,sr,0.1250,-1.6831
TM1,1,TM,sr,0.3750,-1.9036
TM1,1,TM,sr,0.6250,-2.4135
TM1,1,TM,sr,0.8750,-3.2876
TM1,1,TM,sr,1.1250,-4.3069
TM1,1,TM,sr,1.1250,13.4955
TM1,1,TM,sr,1.3750,-4.4005
TM1,1,TM,sr,1.3750,10.2550
TM1,1,TM,sr,1.6250,-3.4003
TM1,1,TM,sr,1.6250,7.0835
TM1,1,TM,sr,1.8750,-2.0824
TM1,1,TM,sr,1.8750,4.9891
TM1,1,TM,sr,1.8750,7.9528
TM1,1,TM,sr,2.1250,-1.1339
TM1,1,TM,sr,2.1250,4.0061
TM1,1,TM,sr,2.1250,6.0679
TM1,1,TM,sr,2.1250,13.2433
TM1,1,TM,sr,2.3750,-0.4635
TM1,1,TM,sr,2.3750,3.4033
TM1,1,TM,sr,2.3750,5.6619
TM1,1,TM,sr,2.3750,10.6743
TM1,1,TM,sr,2.3750,13.6795
TM1,1,TM,sr,2.6250,-0.0857
TM1,1,TM,sr,2.6250,2.9086
TM1,1,TM,sr,2.6250,5.0770
TM1,1,TM,sr,2.6250,8.7547
TM1,1,TM,sr,2.6250,11.4665
TM1,1,TM,sr,2.8750,0.1446
TM1,1,TM,sr,2.8750,2.5926
TM1,1,TM,sr,2.8750,4.8458
TM1,1,TM,sr,2.8750,7.3649
TM1,1,TM,sr,2.8750,11.0261
TM1,1,TM,sr,2.8750,13.8381
TM1,1,TM,sr,3.1250,-8.1120
TM1,1,TM,sr,3.1250,-5.7431
TM1,1,TM,sr,3.1250,0.2649
TM1,1,TM,sr,3.1250,2.3435
TM1,1,TM,sr,3.1250,4.5423
TM1,1,TM,sr,3.1250,6.3122
TM1,1,TM,sr,3.1250,12.3850
TM1,1,TM,sr,3.3750,-7.4286
TM1,1,TM,sr,3.3750,-5.7677
TM1,1,TM,sr,3.3750,-3.8037
TM1,1,TM,sr,3.3750,0.3657
TM1,1,TM,sr,3.3750,2.1861
TM1,1,TM,sr,3.3750,5.5081
TM1,1,TM,sr,3.3750,10.7091
TM1,1,TM,sr,3.6250,-1.8799
TM1,1,TM,sr,3.6250,0.4187
TM1,1,TM,sr,3.6250,2.0665
TM1,1,TM,sr,3.6250,4.9623
TM1,1,TM,sr,3.6250,9.4274
TM1,1,TM,sr,3.6250,14.4022
TM1,1,TM,sr,3.8750,-0.6496
TM1,1,TM,sr,3.8750,0.4750
TM1,1,TM,sr,3.8750,1.9779
TM1,1,TM,sr,3.8750,4.5639
TM1,1,TM,sr,3.8750,8.4312
TM1,1,TM,sr,3.8750,13.6742
TM1,1,TM,sr,4.1250,0.4208
TM1,1,TM,sr,4.1250,1.9372
TM1,1,TM,sr,4.1250,4.3713
TM1,1,TM,sr,4.1250,6.3386
TM1,1,TM,sr,4.1250,7.9333
TM1,1,TM,sr,4.1250,10.5217
TM1,1,TM,sr,4.1250,12.5648
TM1,1,TM,sr,4.3750,0.4349
TM1,1,TM,sr,4.3750,2.0663
TM1,1,TM,sr,4.3750,4.3004
TM1,1,TM,sr,4.3750,5.9285
TM1,1,TM,sr,4.3750,7.6376
TM1,1,TM,sr,4.3750,11.9254
TM1,1,TM,sr,4.3750,14.5922
TM1,1,TM,sr,4.6250,0.5050
TM1,1,TM,sr,4.6250,2.0491
TM1,1,TM,sr,4.6250,4.2940
TM1,1,TM,sr,4.6250,7.5060
TM1,1,TM,sr,4.6250,11.7155
TM1,1,TM,sr,4.8750,-6.2616
TM1,1,TM,sr,4.8750,0.4858
TM1,1,TM,sr,4.8750,1.9922
TM1,1,TM,sr,4.8750,4.2030
TM1,1,TM,sr,4.8750,7.4105
TM1,1,TM,sr,4.8750,11.1122
TM1,1,TM,sr,5.1250,-2.1104
TM1,1,TM,sr,5.1250,0.4577
TM1,1,TM,sr,5.1250,1.9189
TM1,1,TM,sr,5.1250,3.9680
TM1,1,TM,sr,5.1250,6.8003
TM1,1,TM,sr,5.1250,10.3924
TM1,1,TM,sr,5.1250,14.3194
TM1,1,TM,sr,5.3750,-0.1463
TM1,1,TM,sr,5.3750,1.8065
TM1,1,TM,sr,5.3750,3.7687
TM1,1,TM,sr,5.3750,6.3349
TM1,1,TM,sr,5.3750,9.6047
TM1,1,TM,sr,5.3750,13.3938
TM1,1,TM,sr,5.6250,1.4914
TM1,1,TM,sr,5.6250,5.8967
TM1,1,TM,sr,5.6250,8.7687
TM1,1,TM,sr,5.6250,12.2836
TM1,1,TM,sr,5.8750,2.4598
TM1,1,TM,sr,5.8750,8.1693
TM1,1,TM,sr,5.8750,11.3575
TM1,1,TM,sr,6.1250,2.1614
TM1,1,TM,sr,6.1250,7.4029
TM1,1,TM,sr,6.1250,10.3715
TM1,1,TM,sr,6.1250,13.8594
TM1,1,TM,sr,6.3750,-7.3278
TM1,1,TM,sr,6.3750,-5.1608
TM1,1,TM,sr,6.3750,-3.8976
TM1,1,TM,sr,6.3750,2.4109
TM1,1,TM,sr,6.3750,7.0146
TM1,1,TM,sr,6.3750,9.7902
TM1,1,TM,sr,6.3750,12.9883
TM1,1,TM,sr,6.6250,-2.2539
TM1,1,TM,sr,6.6250,2.4710
TM1,1,TM,sr,6.6250,6.5648
TM1,1,TM,sr,6.6250,9.1352
TM1,1,TM,sr,6.6250,12.3649
TM1,1,TM,sr,6.8750,0.9569
TM1,1,TM,sr,6.8750,2.7491
TM1,1,TM,sr,6.8750,4.3045
TM1,1,TM,sr,6.8750,6.2486
TM1,1,TM,sr,6.8750,8.5668
TM1,1,TM,sr,6.8750,10.7431
TM1,1,TM,sr,6.8750,14.5844
TM1,1,TM,sr,7.1250,1.9300
TM1,1,TM,sr,7.1250,5.9505
TM1,1,TM,sr,7.1250,8.1667
TM1,1,TM,sr,7.1250,10.7000
TM1,1,TM,sr,7.3750,2.6879
TM1,1,TM,sr,7.3750,7.8954
TM1,1,TM,sr,7.3750,10.3445
TM1,1,TM,sr,7.6250,2.9252
TM1,1,TM,sr,7.6250,7.8864
TM1,1,TM,sr,7.6250,10.2609
TM1,1,TM,sr,7.8750,-7.3417
TM1,1,TM,sr,7.8750,1.5135
TM1,1,TM,sr,7.8750,4.9020
TM1,1,TM,sr,7.8750,7.8088
TM1,1,TM,sr,7.8750,10.0989
TM1,1,TM,sr,8.1250,-3.3201
TM1,1,TM,sr,8.1250,3.4830
TM1,1,TM,sr,8.1250,9.7462
TM1,1,TM,sr,8.1250,14.5571
TM1,1,TM,sr,8.3750,0.7494
TM1,1,TM,sr,8.3750,4.6995
TM1,1,TM,sr,8.3750,7.2267
TM1,1,TM,sr,8.3750,9.2922
TM1,1,TM,sr,8.3750,14.5981
TM1,1,TM,sr,8.6250,2.9701
TM1,1,TM,sr,8.6250,8.8760
TM1,1,TM,sr,8.6250,10.8333
TM1,1,TM,sr,8.8750,1.5062
TM1,1,TM,sr,8.8750,6.8716
TM1,1,TM,sr,8.8750,10.4712
TM1,1,TM,sr,9.1250,1.9738
TM1,1,TM,sr,9.1250,7.1564
TM1,1,TM,sr,9.1250,10.0098
TM1,1,TM,sr,9.1250,14.5844
TM1,1,TM,sr,9.3750,-8.6355
TM1,1,TM,sr,9.3750,-5.8907
TM1,1,TM,sr,9.3750,3.2431
TM1,1,TM,sr,9.3750,9.4364
TM1,1,TM,sr,9.6250,-3.0329
TM1,1,TM,sr,9.6250,5.1556
TM1,1,TM,sr,9.6250,12.8704
TM1,1,TM,sr,9.8750,0.4823
TM1,1,TM,sr,9.8750,2.6617
TM1,1,TM,sr,9.8750,6.4272
TM1,1,TM,sr,9.8750,8.8330
TM1,1,TM,sr,9.8750,12.8100
TM1,1,TM,nr,0.1250,2.5117
TM1,1,TM,nr,0.3750,1.0861
TM1,1,TM,nr,0.6250,1.0922
TM1,1,TM,nr,0.8750,1.0974
TM1,1,TM,nr,1.1250,1.0974
TM1,1,TM,nr,1.3750,1.0974
TM1,1,TM,nr,1.3750,12.9015
TM1,1,TM,nr,1.6250,1.0974
TM1,1,TM,nr,1.6250,9.8367
TM1,1,TM,nr,1.8750,1.0974
TM1,1,TM,nr,1.8750,7.6366
TM1,1,TM,nr,2.1250,1.0974
TM1,1,TM,nr,2.1250,6.3679
TM1,1,TM,nr,2.1250,14.3766
TM1,1,TM,nr,2.3750,1.0974
TM1,1,TM,nr,2.3750,5.5452
TM1,1,TM,nr,2.3750,13.1896
TM1,1,TM,nr,2.6250,1.0974
TM1,1,TM,nr,2.6250,5.0929
TM1,1,TM,nr,2.6250,11.7928
TM1,1,TM,nr,2.8750,1.0974
TM1,1,TM,nr,2.8750,4.8454
TM1,1,TM,nr,2.8750,11.0398
TM1,1,TM,nr,3.1250,-8.0150
TM1,1,TM,nr,3.1250,1.0974
TM1,1,TM,nr,3.1250,4.6193
TM1,1,TM,nr,3.1250,10.2946
TM1,1,TM,nr,3.3750,-4.4574
TM1,1,TM,nr,3.3750,1.0974
TM1,1,TM,nr,3.3750,4.3058
TM1,1,TM,nr,3.3750,9.3128
TM1,1,TM,nr,3.6250,-1.4984
TM1,1,TM,nr,3.6250,1.0974
TM1,1,TM,nr,3.6250,3.9596
TM1,1,TM,nr,3.6250,8.3213
TM1,1,TM,nr,3.6250,13.9259
TM1,1,TM,nr,3.8750,-0.5431
TM1,1,TM,nr,3.8750,1.0974
TM1,1,TM,nr,3.8750,3.6359
TM1,1,TM,nr,3.8750,7.4370
TM1,1,TM,nr,3.8750,12.5611
TM1,1,TM,nr,4.1250,0.5556
TM1,1,TM,nr,4.1250,3.3416
TM1,1,TM,nr,4.1250,6.7164
TM1,1,TM,nr,4.1250,11.1986
TM1,1,TM,nr,4.3750,0.6460
TM1,1,TM,nr,4.3750,3.0815
TM1,1,TM,nr,4.3750,6.0417
TM1,1,TM,nr,4.3750,10.0096
TM1,1,TM,nr,4.3750,14.3738
TM1,1,TM,nr,4.6250,0.6926
TM1,1,TM,nr,4.6250,2.8493
TM1,1,TM,nr,4.6250,5.5130
TM1,1,TM,nr,4.6250,9.0506
TM1,1,TM,nr,4.6250,13.5083
TM1,1,TM,nr,4.8750,0.6971
TM1,1,TM,nr,4.8750,2.6832
TM1,1,TM,nr,4.8750,5.0625
TM1,1,TM,nr,4.8750,8.2219
TM1,1,TM,nr,4.8750,12.1873
TM1,1,TM,nr,5.1250,0.7398
TM1,1,TM,nr,5.1250,2.5461
TM1,1,TM,nr,5.1250,4.6982
TM1,1,TM,nr,5.1250,7.5582
TM1,1,TM,nr,5.1250,11.1290
TM1,1,TM,nr,5.3750,0.7297
TM1,1,TM,nr,5.3750,2.4529
TM1,1,TM,nr,5.3750,4.4131
TM1,1,TM,nr,5.3750,7.0250
TM1,1,TM,nr,5.3750,10.2704
TM1,1,TM,nr,5.3750,14.0753
TM1,1,TM,nr,5.6250,0.7607
TM1,1,TM,nr,5.6250,2.3911
TM1,1,TM,nr,5.6250,4.2399
TM1,1,TM,nr,5.6250,6.6392
TM1,1,TM,nr,5.6250,9.6340
TM1,1,TM,nr,5.6250,13.1719
TM1,1,TM,nr,5.8750,0.7607
TM1,1,TM,nr,5.8750,2.3697
TM1,1,TM,nr,5.8750,4.1544
TM1,1,TM,nr,5.8750,6.4549
TM1,1,TM,nr,5.8750,9.2673
TM1,1,TM,nr,5.8750,12.6252
TM1,1,TM,nr,6.1250,0.7742
TM1,1,TM,nr,6.1250,2.3631
TM1,1,TM,nr,6.1250,4.1314
TM1,1,TM,nr,6.1250,6.3994
TM1,1,TM,nr,6.1250,9.1728
TM1,1,TM,nr,6.1250,12.4512
TM1,1,TM,nr,6.3750,-6.8443
TM1,1,TM,nr,6.3750,0.7509
TM1,1,TM,nr,6.3750,2.3345
TM1,1,TM,nr,6.3750,4.0748
TM1,1,TM,nr,6.3750,6.2784
TM1,1,TM,nr,6.3750,8.9596
TM1,1,TM,nr,6.3750,12.1055
TM1,1,TM,nr,6.6250,-2.6933
TM1,1,TM,nr,6.6250,0.7557
TM1,1,TM,nr,6.6250,2.2989
TM1,1,TM,nr,6.6250,3.9481
TM1,1,TM,nr,6.6250,6.0412
TM1,1,TM,nr,6.6250,8.5319
TM1,1,TM,nr,6.6250,11.7454
TM1,1,TM,nr,6.6250,14.5817
TM1,1,TM,nr,6.8750,0.5557
TM1,1,TM,nr,6.8750,3.7826
TM1,1,TM,nr,6.8750,5.7345
TM1,1,TM,nr,6.8750,8.0740
TM1,1,TM,nr,6.8750,10.7292
TM1,1,TM,nr,7.1250,0.8789
TM1,1,TM,nr,7.1250,3.6116
TM1,1,TM,nr,7.1250,5.4286
TM1,1,TM,nr,7.1250,7.5935
TM1,1,TM,nr,7.1250,10.1287
TM1,1,TM,nr,7.3750,0.8882
TM1,1,TM,nr,7.3750,3.4427
TM1,1,TM,nr,7.3750,5.1348
TM1,1,TM,nr,7.3750,7.1427
TM1,1,TM,nr,7.3750,9.5136
TM1,1,TM,nr,7.6250,0.9200
TM1,1,TM,nr,7.6250,3.2977
TM1,1,TM,nr,7.6250,4.8592
TM1,1,TM,nr,7.6250,6.7520
TM1,1,TM,nr,7.6250,8.9469
TM1,1,TM,nr,7.6250,14.5694
TM1,1,TM,nr,7.8750,1.3620
TM1,1,TM,nr,7.8750,4.6333
TM1,1,TM,nr,7.8750,6.4020
TM1,1,TM,nr,7.8750,8.4774
TM1,1,TM,nr,7.8750,10.7586
TM1,1,TM,nr,8.1250,1.3221
TM1,1,TM,nr,8.1250,4.4344
TM1,1,TM,nr,8.1250,6.1056
TM1,1,TM,nr,8.1250,8.0461
TM1,1,TM,nr,8.1250,10.2477
TM1,1,TM,nr,8.3750,1.2658
TM1,1,TM,nr,8.3750,4.2549
TM1,1,TM,nr,8.3750,5.8283
TM1,1,TM,nr,8.3750,7.6539
TM1,1,TM,nr,8.3750,9.7292
TM1,1,TM,nr,8.3750,14.5571
TM1,1,TM,nr,8.6250,1.3249
TM1,1,TM,nr,8.6250,4.1299
TM1,1,TM,nr,8.6250,5.6143
TM1,1,TM,nr,8.6250,7.3442
TM1,1,TM,nr,8.6250,9.3197
TM1,1,TM,nr,8.8750,1.3321
TM1,1,TM,nr,8.8750,4.0569
TM1,1,TM,nr,8.8750,5.4927
TM1,1,TM,nr,8.8750,7.1608
TM1,1,TM,nr,8.8750,9.0453
TM1,1,TM,nr,9.1250,1.4481
TM1,1,TM,nr,9.1250,4.0267
TM1,1,TM,nr,9.1250,5.4563
TM1,1,TM,nr,9.1250,7.0941
TM1,1,TM,nr,9.1250,8.9469
TM1,1,TM,nr,9.1250,10.9646
TM1,1,TM,nr,9.3750,-7.6582
TM1,1,TM,nr,9.3750,1.4050
TM1,1,TM,nr,9.3750,4.0080
TM1,1,TM,nr,9.3750,5.4287
TM1,1,TM,nr,9.3750,7.0393
TM1,1,TM,nr,9.3750,8.8655
TM1,1,TM,nr,9.3750,10.8760
TM1,1,TM,nr,9.6250,-3.6529
TM1,1,TM,nr,9.6250,1.7843
TM1,1,TM,nr,9.6250,5.3150
TM1,1,TM,nr,9.6250,6.8669
TM1,1,TM,nr,9.6250,8.6147
TM1,1,TM,nr,9.6250,10.5681
TM1,1,TM,nr,9.6250,12.4902
TM1,1,TM,nr,9.8750,-1.4717
TM1,1,TM,nr,9.8750,1.2708
TM1,1,TM,nr,9.8750,3.9026
TM1,1,TM,nr,9.8750,5.2246
TM1,1,TM,nr,9.8750,6.7261
TM1,1,TM,nr,9.8750,8.4279
TM1,1,TM,nr,9.8750,10.3472
TM1,1,TM,nr,9.8750,12.4141
TM2,2,TM,sr,0.1250,-1.2402
TM2,2,TM,sr,0.3750,-1.2534
TM2,2,TM,sr,0.6250,-1.3823
TM2,2,TM,sr,0.8750,-1.5518
TM2,2,TM,sr,1.1250,-1.8076
TM2,2,TM,sr,1.3750,-2.3027
TM2,2,TM,sr,1.3750,14.5325
TM2,2,TM,sr,1.6250,-3.0558
TM2,2,TM,sr,1.6250,12.5872
TM2,2,TM,sr,1.8750,-3.9840
TM2,2,TM,sr,1.8750,8.9716
TM2,2,TM,sr,1.8750,13.1053
TM2,2,TM,sr,2.1250,-4.6733
TM2,2,TM,sr,2.1250,6.7486
TM2,2,TM,sr,2.3750,-4.5920
TM2,2,TM,sr,2.3750,4.8192
TM2,2,TM,sr,2.3750,7.3720
TM2,2,TM,sr,2.3750,13.4752
TM2,2,TM,sr,2.6250,-3.6706
TM2,2,TM,sr,2.6250,3.8729
TM2,2,TM,sr,2.6250,5.7972
TM2,2,TM,sr,2.6250,11.5814
TM2,2,TM,sr,2.8750,-2.4470
TM2,2,TM,sr,2.8750,3.2958
TM2,2,TM,sr,2.8750,5.1698
TM2,2,TM,sr,2.8750,9.5666
TM2,2,TM,sr,3.1250,-1.4513
TM2,2,TM,sr,3.1250,2.9033
TM2,2,TM,sr,3.1250,4.5768
TM2,2,TM,sr,3.1250,7.9979
TM2,2,TM,sr,3.1250,10.1181
TM2,2,TM,sr,3.1250,14.3004
TM2,2,TM,sr,3.3750,-0.7102
TM2,2,TM,sr,3.3750,2.6219
TM2,2,TM,sr,3.3750,4.1732
TM2,2,TM,sr,3.3750,6.9331
TM2,2,TM,sr,3.3750,8.8484
TM2,2,TM,sr,3.3750,12.9660
TM2,2,TM,sr,3.6250,-0.2440
TM2,2,TM,sr,3.6250,2.4077
TM2,2,TM,sr,3.6250,3.8451
TM2,2,TM,sr,3.6250,6.1620
TM2,2,TM,sr,3.6250,8.0118
TM2,2,TM,sr,3.6250,11.3185
TM2,2,TM,sr,3.8750,0.0031
TM2,2,TM,sr,3.8750,2.2337
TM2,2,TM,sr,3.8750,3.8287
TM2,2,TM,sr,3.8750,5.4460
TM2,2,TM,sr,3.8750,7.5689
TM2,2,TM,sr,3.8750,9.9459
TM2,2,TM,sr,3.8750,12.3179
TM2,2,TM,sr,4.1250,0.2234
TM2,2,TM,sr,4.1250,2.0871
TM2,2,TM,sr,4.1250,3.5475
TM2,2,TM,sr,4.1250,4.9526
TM2,2,TM,sr,4.1250,7.1506
TM2,2,TM,sr,4.1250,8.8499
TM2,2,TM,sr,4.1250,13.7496
TM2,2,TM,sr,4.3750,-9.1798
TM2,2,TM,sr,4.3750,-7.2386
TM2,2,TM,sr,4.3750,-5.3740
TM2,2,TM,sr,4.3750,0.3413
TM2,2,TM,sr,4.3750,1.9710
TM2,2,TM,sr,4.3750,4.4622
TM2,2,TM,sr,4.3750,7.8769
TM2,2,TM,sr,4.3750,12.4293
TM2,2,TM,sr,4.6250,-3.0487
TM2,2,TM,sr,4.6250,0.4331
TM2,2,TM,sr,4.6250,1.8891
TM2,2,TM,sr,4.6250,4.0597
TM2,2,TM,sr,4.6250,7.2746
TM2,2,TM,sr,4.6250,11.2721
TM2,2,TM,sr,4.8750,-0.8711
TM2,2,TM,sr,4.8750,0.4811
TM2,2,TM,sr,4.8750,2.7128
TM2,2,TM,sr,4.8750,6.6423
TM2,2,TM,sr,4.8750,10.3014
TM2,2,TM,sr,4.8750,14.3535
TM2,2,TM,sr,5.1250,0.4033
TM2,2,TM,sr,5.1250,2.7339
TM2,2,TM,sr,5.1250,6.2148
TM2,2,TM,sr,5.1250,9.5066
TM2,2,TM,sr,5.1250,13.4562
TM2,2,TM,sr,5.3750,0.5116
TM2,2,TM,sr,5.3750,2.6981
TM2,2,TM,sr,5.3750,5.8967
TM2,2,TM,sr,5.3750,7.5197
TM2,2,TM,sr,5.3750,8.9481
TM2,2,TM,sr,5.3750,12.6396
TM2,2,TM,sr,5.6250,0.4810
TM2,2,TM,sr,5.6250,2.7927
TM2,2,TM,sr,5.6250,5.8032
TM2,2,TM,sr,5.6250,8.6899
TM2,2,TM,sr,5.6250,10.6078
TM2,2,TM,sr,5.6250,12.1616
TM2,2,TM,sr,5.6250,14.2372
TM2,2,TM,sr,5.8750,1.0564
TM2,2,TM,sr,5.8750,3.5082
TM2,2,TM,sr,5.8750,5.7539
TM2,2,TM,sr,5.8750,8.5002
TM2,2,TM,sr,5.8750,11.9449
TM2,2,TM,sr,6.1250,-6.5364
TM2,2,TM,sr,6.1250,1.7664
TM2,2,TM,sr,6.1250,5.5884
TM2,2,TM,sr,6.1250,8.2810
TM2,2,TM,sr,6.1250,11.4485
TM2,2,TM,sr,6.3750,-2.3985
TM2,2,TM,sr,6.3750,1.1653
TM2,2,TM,sr,6.3750,3.3104
TM2,2,TM,sr,6.3750,5.3447
TM2,2,TM,sr,6.3750,7.8504
TM2,2,TM,sr,6.3750,10.8000
TM2,2,TM,sr,6.3750,14.3231
TM2,2,TM,sr,6.6250,1.9216
TM2,2,TM,sr,6.6250,7.3893
TM2,2,TM,sr,6.6250,10.0276
TM2,2,TM,sr,6.8750,2.1354
TM2,2,TM,sr,6.8750,6.9154
TM2,2,TM,sr,6.8750,9.5221
TM2,2,TM,sr,7.1250,1.2614
TM2,2,TM,sr,7.1250,4.5081
TM2,2,TM,sr,7.1250,6.5498
TM2,2,TM,sr,7.1250,8.8875
