panel,pol,l,type,n,median,p95,max,pass_median,pass_p95,pass
TM1,TM,1,sr,173,0.012328,0.127159,0.178846,False,False,False
TM1,TM,1,nr,179,0.007361,0.018669,0.060468,True,True,True
TM2,TM,2,sr,171,0.011692,0.059969,0.185116,False,False,False
TM2,TM,2,nr,171,0.006864,0.021204,0.061024,True,True,True
TM3,TM,3,sr,149,0.011051,0.052281,0.200080,False,False,False
TM3,TM,3,nr,171,0.006659,0.018196,0.060984,True,True,True
TE1,TE,1,sr,163,0.009863,0.087898,0.165279,True,False,False
TE1,TE,1,nr,173,0.005845,0.018917,0.061432,True,True,True
TE2,TE,2,sr,143,0.008879,0.131477,0.172272,True,False,False
TE2,TE,2,nr,172,0.005437,0.016942,0.060956,True,True,True
TE3,TE,3,sr,147,0.007273,0.021092,0.031482,True,True,True
TE3,TE,3,nr,170,0.005508,0.020592,0.069932,True,True,True
GLOBAL,ALL,0,sr+nr,1982,0.007463,0.042580,0.200080,True,False,False
